id	jlpt	kanji	significato	storia	parola 1 hiragana	parola 1 kanji	parola 1 significato 	parola 2 hiragana	parola 2 kanji	parola 2 significato	parola 3 hiragana	parola 3 kanji	parola 3 significato 
40	5	千	mille	Un cappello 一 che costa 10 十 euro, mille centesimi 	はっせん	八千	8000						
61	5	見	Vedere	Un occhio 目 con le gambe 儿	みる	見る	vedere	みえる	見える	essere visto			
97	4	可	potere	Una bocca 口 che chiede per strada 丁 se può fare qualcosa	か	可	accettabile	かわいい	可愛い	carino			
105	5	母	Mamma	Due seni in verticale	はは	母	la mia mamma	おかあさん	お母さん	la mamma di qualcun altro			
134	5	川	fiume	Un fiume che scorre	かわ	川	fiume						
137	5	水	acqua	7K euro di piscina	みず	水	acqua	すいようび	水曜日	mercoledì			
161	5	土	Terra	Una croce piantata a terra	つち	土	terra	どようび	土曜日	sabato			
171	5	時	Tempo, ora	Il sole 日 batte sulla meridiana 土 per misurare 寸 il tempo	とき	時	tempo	じかん	時間	ora	くじ	九時	Le 9:00
173	5	火	fuoco	Un fuoco che arde	か	火	fuoco	はなび	花火	fuochi d'artificio	かようび	火曜日	martedì
183	4	魚	pesce	Catturi 勹 un pesce, raccogli il riso 田 e lo cuoci 灬	さかな	魚	pesce	かわうお	川魚	pesce di fiume			
224	5	本	Libro	Un albero tagliato	ほん	本	libro	おおもと	大本	fonte	origine		
229	4	未	Non ancora	In serra 亠 c'è un piccolo albero 木 non ancora cresciuto	み	未	non ancora (yet)	まだ	未だ	ancora (still)			
263	5	先	prima	Prima di uscire dal labirinto, devi uccidere il minotauro 牛 + 儿	せんげつ	先月	il mese scorso	せんせい	先生	insegnante			
267	４	茶	tè	Il tè è fatto da fiori 艹 fatti seccare sotto una tettoia 个 di legno 木	おちゃ	お茶	tè						
271	4	王	re	Il re è uno 一 ma comanda su tutta la  sua terra 土	だいおう	大王	grande re	かいぞくおうにおれはなる	海賊王に俺はなる	diventerò il re dei pirati			
287	5	金	oro	Sotto il suo tetto 个, un re 王 si gode le sue otto ハ monete d'oro	かね	金	moneta, metallo	きんようび	金曜日	venerdì			
329	5	高	alto, costoso	Una casa a due piani: tetto 亠, stanza 口, pareti 冂, stanza 口	たかい	高い	alto, costoso	こうこう	高校	scuola superiore			
345	4	売	Vendere	Un articolo 士 su un tavolo 冖 che viene venduto da una persona 儿	うる	売る	vendere	ばいばい	売買	compravendita			
346	5	学	studiare	Sotto il tetto 龸 della scuola, i bambini 子 studiano	がくせい	学生	studente	がっこう	学校	scuola			
349	5	書	scrivere	Allenati a scrivere col pennello 聿 tutti i giorni 日	かきます	書きます	scrivere	しょ	書	documento, calligrafia			
357	5	言	Parola	Una bocca 口 che produce onde sonore	いう	言う	dire	げん	言	parola	osservazione		
368	5	話	storia, parlare 	Leggo una parola 言 e la dico con la lingua 舌	はなす	話す	parlare	はなし	話	storia, racconto	わ	話	contatore
371	5	語	Parola	La parola più facile da dire 言 è io 吾	えいご	英語	La lingua inglese	かなります	語ります	Parlare di qualcosa 			
372	5	読	Leggere	Le parole 言 che leggiamo servono a venderci 売 qualcosa	よむ	読む	leggere	どくしゃ	読者	lettore			
482	４	比	confrontare	Due cucchiai 匕 a confronto	くらべる	比べる	confrontare						
484	4	皆	tutti	Il mio Dash lava di TUTTO! Non c'è confronto 比, più bianco 白 non si può!	みなさん	皆さん	tutti (persone)						
505	4	欠	mancanza	legando 勹 una persona 人, le fai mancare la libertà 	けつ	欠	mancanza						
618	4	曜	giorno della settimana	In settimana i giorni 日 volano con le ali ヨヨ come fossero uccelli 隹	ようび	曜日	giorno della settimana						
624	5	国	Nazione	Wano è un gioiello 玉 chiuso nei suoi confini 囗 	おくに	お国	il tuo paese nativo	いこく	異国	paese estero			
786	4	乳	Latte	Con le unghie 爪 i bambini 子 si attaccano乚 al biberon	ぎゅうにゅう	牛乳	latte vaccino	ぼにゅう	母乳	latte materno			
814	4	会	incontro	Ci incontriamo sotto un tetto 个 in due 二: tu e io 厶	あいます	会います	incontrarsi	かいしゃ	会社	azienda			
830	5	山	Montagna	Letteralmente una montagna	やま	山	montagna	ふじさん	富士山	Monte Fuji			
844	5	分	parte, minuto	Una splendente 丷 katana 刀 divide in parti	いちぷん	一分	un minuto						
894	4	買	comprare	Compro una rete 罒 per pescare conchiglie 貝	かいます	買います	comprare	ばいばい	売買	compravendita			
938	5	行	andare	i イ te テ (andare in latino)	いきます	行きます	andare						
968	5	私	Io	Questo grano 禾 è privato ㄙ	わたし	私	io	しりつ	私立	privato (scuola)			
1038	5	休	riposare	Un uomo 亻si riposa appoggiato a un albero 木	やすみます	休みます	riposare						
1083	4	化	cambiare	Una persona in piedi 亻che si siede 匕	ばける	化ける	cambiare						
1084	4	花	fiore	I fiori 艹 cambiano 化 con le stagioni	はな	花	fiore	はなび	花火	fuochi d'artificio	かびん	花瓶	vaso di fiori
1087	5	何	cosa	Un uomo 亻può fare 可 qualsiasi cosa	なに	何	cosa	なぜ	何故	perché	なにか	何か	qualcosa
1129	4	物	cosa	Una mucca 牜 non 勿 è una "cosa"	もの	物	cosa	しぶつ	私物	effetti personali			
1173	4	社	azienda, altare	L'azienda è un culto ⺭ che ti tratta come terra 土	かいしゃ	会社	azienda	やしろ	社	altare shintoista			
1224	4	作	fare, produrre, preparare	Un uomo 亻che sega	つくります	作ります	produrre qualcosa						
1286	5	半	Metà	Un colpo ⼁ che sta rompendo il 3 三	はん	半	metà	くじはん	九時半	Le 9:30			
1366	5	父	Papà	Un padre che impugna due spade per difendere la famiglia	ちち	父	il mio papà	おとうさん	お父さん	il papà di qualcun altro	ふぼ	父母	genitori
1368	4	交	mischiare	Con un cappello 亠, il padre 父 pensa di mischiarsi tra i giovani	こっこう	国交	relazioni diplomatiche						
1371	5	校	esame, scuola	Prima di un esame, i banchi di legno 木 si mischiano 交	がっこう	学校	scuola						
1406	4	階	piano	Per raggiungere il pinnacolo 阝devi salire tutti 皆 i piani	いっかい	一階	primo piano						
1526	４	卵	uovo	Il coniglio 卯 di pasqua porta le uova 丷	たまご	卵	uovo	ラン	卵	ovulo			
1582	5	食	mangiare	Sotto il tetto 个 mi fermo 艮 a mangiare	たべる	食べる	mangiare	しょく	食	cibo			
1584	4	飲	bere 	Se hai solo mangiato 食 ti manca 欠 di bere	のみます	飲みます	bere	いんしゅ	飲酒	bere alcool			
1619	4	新	nuovo	Una pila 立 di legna 木 appena tagliata con un'ascia 斤	あたらしい	新しい	nuovo	しんぶん	新聞	giornale			
1675	5	生	vita	Una mucca 牛 spende la sua vita a terra 土	せい	生	vita	いきたい	生きたい	VOGLIO VIVEREEEEEE	せんせい	先生	insegnante
1747	5	間	intervallo, spazio	Dal cancello 門 entra ad intervalli la luce del sole 日	じかん	時間	ora						
1754	5	聞	sentire	Due mani 門 ad amplificare un orecchio 耳	きく	聞く	sentire	きこえる	聞こえる	essere sentito			
1878	4	英	Inghilterra 	Bere acqua con fiori 艹 è al centro 央 della loro vita	えいご	英語	La lingua inglese 						
1924	4	並	Fila	Una nave vista dall'alto, coi remi (rowing)	なみ	並	comune, media	なみき	並木	fila di alberi			
1931	4	業	Professione	Per decidere la mia professione dovrei mettere in fila 並 le mie idee, ma non l'ho ancora 未 fatto	ぎょう	業	business	わざ	業	opera, azione			
1933	4	僕	Io (maschio)	Una persona 亻definita dalla sua professione 業	ぼく	僕	Io (maschio)	かみのしもべ	神の僕	Servo di Dio			
2029	5	来	venire, prossimo	Torno a casa, sotto il mio tetto 亠 丷 di legno 木	きます	来ます	venire	らいげつ	来月	il prossimo mese	きすぎ	来生	la prossima vita
